datetime,open,high,low,close,volume
2024-05-21,191.18,192.73,190.74,192.48,35555095.0
2024-05-22,192.42,192.8231,190.27,190.46,28245984.0
2024-05-23,190.65,191.46,186.625,187.28,40737552.0
2024-05-24,187.9,190.58,186.88,189.95,30374773.0
2024-05-25,,,,,0.0
2024-05-26,,,,,0.0
2024-05-27,,,,,0.0
2024-05-28,190.8,194.81,189.1,190.15,45191138.0
2024-05-29,189.88,192.247,189.0,190.25,44726986.0
2024-05-30,190.01,192.18,189.86,191.41,39632430.0
2024-05-31,191.0,192.63,189.91,192.48,50109408.0
2024-06-01,,,,,0.0
2024-06-02,,,,,0.0
2024-06-03,192.45,194.99,191.77,194.08,43588669.0
2024-06-04,194.03,195.32,193.02,194.64,39619572.0
2024-06-05,194.99,196.9,194.58,195.53,46784614.0
2024-06-06,195.65,196.5,193.94,194.59,34640409.0
2024-06-07,195.02,196.97,193.45,196.9,47664986.0
2024-06-08,,,,,0.0
2024-06-09,,,,,0.0
2024-06-10,197.0,198.32,192.15,192.33,89282796.0
2024-06-11,192.48,207.89,191.28,206.54,160265159.0
2024-06-12,206.54,220.2,205.5,214.2,188950376.0
2024-06-13,214.52,216.75,211.6,214.6,88608213.0
2024-06-14,214.4,215.17,211.3,212.44,62897055.0
2024-06-15,,,,,0.0
2024-06-16,,,,,0.0
2024-06-17,212.62,218.95,212.43,216.76,82475787.0
2024-06-18,216.81,218.63,213.0,214.02,69881157.0
2024-06-19,,,,,0.0
2024-06-20,215.31,215.31,208.85,210.0,74441611.0
2024-06-21,209.47,211.95,207.1,207.22,100634053.0
2024-06-22,,,,,0.0
2024-06-23,,,,,0.0
2024-06-24,207.4,212.7,206.59,209.12,67484728.0
2024-06-25,208.92,211.38,208.51,209.14,42487384.0
2024-06-26,209.35,214.86,209.11,212.8,55938658.0
2024-06-27,213.08,215.7395,212.35,214.45,41739555.0
2024-06-28,214.12,216.37,210.3,211.66,61054663.0
2024-06-29,,,,,0.0
2024-06-30,,,,,0.0
